,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,yeagest01,Steve Yeager,Right,6-0,190lb,1985,36,LAD,NL,53,131,121,4,25,4,1,0,9,0,1,7,24,0.207,0.24600000000000002,0.256,0.502,44,31,3,0,1,2,2,2,,"$500,000"
1,yeagest01,Steve Yeager,Right,6-0,190lb,1986,37,SEA,AL,50,146,130,10,27,2,0,2,12,0,0,12,23,0.20800000000000002,0.273,0.26899999999999996,0.542,49,35,5,0,2,1,0,2,,"$412,809"
2,yeldier01,Eric Yelding,Right,5-11,170lb,1989,24,HOU,NL,70,102,90,19,21,2,0,0,9,11,5,7,19,0.233,0.29,0.256,0.546,60,23,2,1,2,2,0,64/897,,"$68,000"
3,yeldier01,Eric Yelding,Right,5-11,170lb,1990,25,HOU,NL,142,559,511,69,130,9,5,1,28,64,25,39,87,0.254,0.305,0.297,0.602,69,152,11,0,4,5,1,8674/95,,"$110,000"
4,yeldier01,Eric Yelding,Right,5-11,170lb,1991,26,HOU,NL,78,293,276,19,67,11,1,1,20,11,9,13,46,0.243,0.276,0.301,0.5770000000000001,68,83,4,0,3,1,3,6/89,,"$260,000"
5,yeldier01,Eric Yelding,Right,5-11,170lb,1993,28,CHC,NL,69,123,108,14,22,5,1,1,10,3,2,11,22,0.204,0.27699999999999997,0.29600000000000004,0.574,56,32,3,0,4,0,2,4/586,,"$225,000"
6,yelicch01,Christian Yelich,Left,6-3,195lb,2014,22,MIA,NL,144,660,582,94,165,30,6,9,54,21,7,70,137,0.284,0.36200000000000004,0.402,0.764,115,234,9,3,3,2,3,*78,GG,"$505,000"
7,yelicch01,Christian Yelich,Left,6-3,195lb,2015,23,MIA,NL,126,525,476,63,143,30,2,7,44,16,5,47,101,0.3,0.366,0.41600000000000004,0.782,118,198,13,2,0,0,2,*78,,"$570,000"
8,yelicch01,Christian Yelich,Left,6-3,195lb,2016,24,MIA,NL,155,659,578,78,172,38,3,21,98,9,4,72,138,0.298,0.376,0.483,0.8590000000000001,135,279,20,4,0,5,4,*78/D,"MVP-19,SS","$1,000,000"
9,yelicch01,Christian Yelich,Left,6-3,195lb,2017,25,MIA,NL,156,695,602,100,170,36,2,18,81,16,2,80,137,0.282,0.369,0.439,0.807,117,264,13,6,0,6,4,*8,,"$3,500,000"
10,youklke01,Kevin Youkilis,Right,6-1,220lb,2005,26,BOS,AL,44,95,79,11,22,7,0,1,9,0,1,14,19,0.278,0.4,0.405,0.805,113,32,0,2,0,0,0,5/34,,"$323,125"
11,youklke01,Kevin Youkilis,Right,6-1,220lb,2006,27,BOS,AL,147,680,569,100,159,42,2,13,72,5,2,91,120,0.27899999999999997,0.381,0.429,0.81,106,244,12,9,0,11,0,*375,,"$354,600"
12,youklke01,Kevin Youkilis,Right,6-1,220lb,2007,28,BOS,AL,145,625,528,85,152,35,2,16,83,4,2,77,105,0.28800000000000003,0.39,0.45299999999999996,0.843,117,239,9,15,0,5,0,*35,GG,"$424,500"
13,youklke01,Kevin Youkilis,Right,6-1,220lb,2008,29,BOS,AL,145,621,538,91,168,43,4,29,115,3,5,62,108,0.312,0.39,0.569,0.958,144,306,11,12,0,9,7,*35/9,"AS,MVP-3","$3,000,000"
14,youklke01,Kevin Youkilis,Right,6-1,220lb,2009,30,BOS,AL,136,588,491,99,150,36,1,27,94,7,2,77,125,0.305,0.413,0.5479999999999999,0.961,146,269,9,16,0,4,6,35/7,"AS,MVP-6","$6,250,000"
15,youklke01,Kevin Youkilis,Right,6-1,220lb,2010,31,BOS,AL,102,435,362,77,111,26,5,19,62,4,1,58,67,0.307,0.41100000000000003,0.564,0.975,157,204,4,10,0,5,3,3/5,,"$9,375,000"
16,youklke01,Kevin Youkilis,Right,6-1,220lb,2011,32,BOS,AL,120,517,431,68,111,32,2,17,80,3,0,68,100,0.258,0.373,0.45899999999999996,0.833,123,198,14,14,0,4,3,*5/3D,AS,"$12,250,000"
17,youklke01,Kevin Youkilis,Right,6-1,220lb,2012,33,TOT,AL,122,509,438,72,103,15,2,19,60,0,0,51,108,0.235,0.336,0.409,0.745,101,179,10,17,0,3,2,*53,,"$12,250,000"
18,youklke01,Kevin Youkilis,Right,6-1,220lb,2012,33,BOS,AL,42,165,146,25,34,7,1,4,14,0,0,14,39,0.233,0.315,0.377,0.6920000000000001,87,55,4,4,0,1,0,53,,"$12,250,000"
19,youklke01,Kevin Youkilis,Right,6-1,220lb,2012,33,CHW,AL,80,344,292,47,69,8,1,15,46,0,0,37,69,0.23600000000000002,0.34600000000000003,0.425,0.7709999999999999,108,124,6,13,0,2,2,53,,"$12,250,000"
20,youklke01,Kevin Youkilis,Right,6-1,220lb,2013,34,NYY,AL,28,118,105,12,23,7,0,2,8,0,0,8,31,0.21899999999999997,0.305,0.34299999999999997,0.648,80,36,4,5,0,0,1,5/3D,,"$12,000,000"
21,youngch04,Chris Young,Right,6-2,200lb,2007,23,ARI,NL,148,624,569,85,135,29,3,32,68,27,6,43,141,0.237,0.295,0.467,0.763,88,266,5,6,1,5,1,*8,RoY-4,"$380,000"
22,youngch04,Chris Young,Right,6-2,200lb,2008,24,ARI,NL,160,699,625,85,155,42,7,22,85,14,5,62,165,0.248,0.315,0.44299999999999995,0.758,91,277,10,1,6,5,2,*8,,"$406,000"
23,youngch04,Chris Young,Right,6-2,200lb,2009,25,ARI,NL,134,501,433,54,92,28,4,15,42,11,4,59,133,0.212,0.311,0.4,0.711,83,173,3,4,3,2,2,*8,,"$1,950,000"
24,youngch04,Chris Young,Right,6-2,200lb,2010,26,ARI,NL,156,664,584,94,150,33,0,27,91,28,7,74,145,0.257,0.341,0.452,0.7929999999999999,108,264,10,2,1,3,0,*8,AS,"$3,450,000"
25,youngch04,Chris Young,Right,6-2,200lb,2011,27,ARI,NL,156,659,567,89,134,38,3,20,71,22,9,80,139,0.23600000000000002,0.331,0.42,0.7509999999999999,103,238,3,4,1,7,4,*8,,"$5,200,000"
26,youngch04,Chris Young,Right,6-2,200lb,2012,28,ARI,NL,101,363,325,36,75,24,0,14,41,8,3,36,79,0.231,0.311,0.434,0.745,98,141,4,2,0,0,0,8/D,,"$7,000,000"
27,youngch04,Chris Young,Right,6-2,200lb,2013,29,OAK,AL,107,375,335,46,67,18,3,12,40,10,3,36,93,0.2,0.28,0.379,0.659,82,127,7,2,0,2,3,897/D,,"$8,500,000"
28,youngch04,Chris Young,Right,6-2,200lb,2014,30,TOT,MLB,111,366,325,40,72,20,0,11,38,8,3,32,70,0.222,0.299,0.385,0.6829999999999999,95,125,3,5,1,3,2,78/9D,,"$7,250,000"
29,youngch04,Chris Young,Right,6-2,200lb,2014,30,NYM,NL,88,287,254,31,52,12,0,8,28,7,3,25,54,0.205,0.28300000000000003,0.34600000000000003,0.63,81,88,3,4,1,3,2,78/9,,"$7,250,000"
30,youngch04,Chris Young,Right,6-2,200lb,2014,30,NYY,AL,23,79,71,9,20,8,0,3,10,1,0,7,16,0.282,0.354,0.521,0.8759999999999999,145,37,0,1,0,0,0,7/D9,,"$7,250,000"
31,youngch04,Chris Young,Right,6-2,200lb,2015,31,NYY,AL,140,356,318,53,80,20,1,14,42,3,1,30,73,0.252,0.32,0.45299999999999996,0.773,109,144,6,3,3,2,2,*978/D,,"$2,500,000"
32,youngch04,Chris Young,Right,6-2,200lb,2016,32,BOS,AL,76,227,203,29,56,18,0,9,24,4,2,21,50,0.276,0.35200000000000004,0.498,0.85,121,101,4,3,0,0,0,7/89D,,"$6,500,000"
33,youngch04,Chris Young,Right,6-2,200lb,2017,33,BOS,AL,90,276,243,30,57,12,2,7,25,3,2,30,55,0.235,0.322,0.387,0.7090000000000001,86,94,4,2,0,1,0,7D/9,,"$6,500,000"
34,youngde03,Delmon Young,Right,6-3,240lb,2007,21,TBD,AL,162,681,645,65,186,38,0,13,93,10,3,26,127,0.28800000000000003,0.316,0.408,0.723,91,263,23,3,0,7,2,*98/D,RoY-2,"$1,340,000"
35,youngde03,Delmon Young,Right,6-3,240lb,2008,22,MIN,AL,152,623,575,80,167,28,4,10,69,14,5,35,105,0.29,0.336,0.405,0.741,100,233,19,7,1,5,7,*7,,"$1,440,000"
36,youngde03,Delmon Young,Right,6-3,240lb,2009,23,MIN,AL,108,416,395,50,112,16,2,12,60,2,5,12,92,0.284,0.308,0.425,0.733,92,168,17,4,0,5,1,7/D,,"$1,152,000"
37,youngde03,Delmon Young,Right,6-3,240lb,2010,24,MIN,AL,153,613,570,77,170,46,1,21,112,5,4,28,81,0.298,0.33299999999999996,0.493,0.826,124,281,16,6,0,9,5,*7/D,MVP-10,"$2,600,000"
38,youngde03,Delmon Young,Right,6-3,240lb,2011,25,TOT,AL,124,503,473,54,127,21,1,12,64,1,0,23,85,0.268,0.302,0.39299999999999996,0.695,90,186,19,2,0,5,2,*7/D,,"$5,375,000"
39,youngde03,Delmon Young,Right,6-3,240lb,2011,25,MIN,AL,84,325,305,26,81,16,0,4,32,1,0,18,55,0.266,0.305,0.35700000000000004,0.662,82,109,12,0,0,2,2,7/D,,"$5,375,000"
40,youngde03,Delmon Young,Right,6-3,240lb,2011,25,DET,AL,40,178,168,28,46,5,1,8,32,0,0,5,30,0.27399999999999997,0.298,0.45799999999999996,0.7559999999999999,103,77,7,2,0,3,0,7,,"$5,375,000"
41,youngde03,Delmon Young,Right,6-3,240lb,2012,26,DET,AL,151,608,574,54,153,27,1,18,74,0,2,20,112,0.267,0.29600000000000004,0.41100000000000003,0.7070000000000001,88,236,20,7,0,7,1,*D7,,"$6,750,000"
42,youngde03,Delmon Young,Right,6-3,240lb,2013,27,TOT,MLB,103,361,334,30,87,16,0,11,38,0,0,20,78,0.26,0.307,0.40700000000000003,0.715,97,136,8,4,0,3,0,9D,,"$750,000"
43,youngde03,Delmon Young,Right,6-3,240lb,2013,27,PHI,NL,80,291,272,22,71,13,0,8,31,0,0,14,69,0.261,0.302,0.397,0.6990000000000001,93,108,7,3,0,2,0,9/D,,"$750,000"
44,youngde03,Delmon Young,Right,6-3,240lb,2013,27,TBR,AL,23,70,62,8,16,3,0,3,7,0,0,6,9,0.258,0.32899999999999996,0.452,0.78,117,28,1,1,0,1,0,D/9,,"$750,000"
45,youngde03,Delmon Young,Right,6-3,240lb,2015,29,BAL,AL,52,180,174,20,47,6,0,2,16,0,0,4,29,0.27,0.289,0.33899999999999997,0.628,71,59,8,1,0,1,0,9/D7,,"$2,250,000"
46,youngde04,Delwyn Young,Both,5-10,209lb,2008,26,LAD,NL,83,143,126,10,31,9,0,1,7,0,0,14,34,0.24600000000000002,0.321,0.341,0.6629999999999999,76,43,2,0,3,0,0,79/4D,,"$391,000"
47,youngde04,Delwyn Young,Both,5-10,209lb,2010,28,PIT,NL,110,207,191,22,45,11,1,7,28,1,0,13,52,0.23600000000000002,0.28600000000000003,0.414,0.7,88,79,5,1,1,1,0,94/5D,,"$444,500"
48,youngdm01,Dmitri Young,Both,6-2,295lb,1996,22,STL,NL,16,34,29,3,7,0,0,0,2,0,1,4,5,0.24100000000000002,0.353,0.24100000000000002,0.594,62,7,1,1,0,0,0,3,,"$109,000"
49,youngdm01,Dmitri Young,Both,6-2,295lb,1997,23,STL,NL,110,377,333,38,86,14,3,5,34,6,5,38,63,0.258,0.335,0.363,0.698,84,121,8,2,1,3,3,39/7D,,"$155,000"
50,youngdm01,Dmitri Young,Both,6-2,295lb,1998,24,CIN,NL,144,590,536,81,166,48,1,14,83,2,4,47,94,0.31,0.364,0.48100000000000004,0.846,119,258,16,2,0,5,4,739,,"$215,000"
51,youngdm01,Dmitri Young,Both,6-2,295lb,1999,25,CIN,NL,127,409,373,63,112,30,2,14,56,3,1,30,71,0.3,0.35200000000000004,0.504,0.856,111,188,11,2,0,4,1,97/3D,,"$375,000"
52,youngdm01,Dmitri Young,Both,6-2,295lb,2000,26,CIN,NL,152,593,548,68,166,37,6,18,88,0,3,36,80,0.303,0.34600000000000003,0.491,0.8370000000000001,107,269,16,3,1,5,6,*73/D9,,"$1,950,000"
53,youngdm01,Dmitri Young,Both,6-2,295lb,2001,27,CIN,NL,142,586,540,68,163,28,3,21,69,8,5,37,77,0.302,0.35,0.48100000000000004,0.8320000000000001,108,260,22,5,1,3,10,735/9,,"$3,500,000"
54,youngdm01,Dmitri Young,Both,6-2,295lb,2002,28,DET,AL,54,216,201,25,57,14,0,7,27,2,0,12,39,0.284,0.32899999999999996,0.45799999999999996,0.7859999999999999,114,92,12,2,0,1,5,D3/57,,"$5,500,000"
55,youngdm01,Dmitri Young,Both,6-2,295lb,2003,29,DET,AL,155,635,562,78,167,34,7,29,85,2,1,58,130,0.297,0.37200000000000005,0.537,0.909,144,302,16,11,0,4,16,D75/3,AS,"$6,750,000"
56,youngdm01,Dmitri Young,Both,6-2,295lb,2004,30,DET,AL,104,432,389,72,106,23,2,18,60,0,1,33,71,0.272,0.336,0.48100000000000004,0.816,115,187,8,6,0,4,4,D3/75,,"$7,750,000"
57,youngdm01,Dmitri Young,Both,6-2,295lb,2005,31,DET,AL,126,509,469,61,127,25,3,21,72,1,0,29,100,0.271,0.325,0.47100000000000003,0.7959999999999999,112,221,16,9,0,1,7,D37/9,,"$8,000,000"
58,youngdm01,Dmitri Young,Both,6-2,295lb,2006,32,DET,AL,48,184,172,19,43,4,1,7,23,1,1,11,39,0.25,0.293,0.40700000000000003,0.7,79,70,3,0,0,1,0,D/3,,"$8,000,000"
59,youngdm01,Dmitri Young,Both,6-2,295lb,2007,33,WSN,NL,136,508,460,57,147,38,1,13,74,0,0,44,74,0.32,0.37799999999999995,0.491,0.8690000000000001,129,226,13,1,0,3,6,*3/D,AS,"$500,000"
60,youngdm01,Dmitri Young,Both,6-2,295lb,2008,34,WSN,NL,50,180,150,15,42,6,0,4,10,0,0,28,28,0.28,0.39399999999999996,0.4,0.794,112,60,8,1,0,1,4,3/D,,"$5,000,000"
61,younger01,Eric Young,Right,5-9,180lb,1993,26,COL,NL,144,565,490,82,132,16,8,3,42,42,19,63,41,0.26899999999999996,0.355,0.353,0.708,80,173,9,4,4,4,3,478,,"$120,000"
62,younger01,Eric Young,Right,5-9,180lb,1994,27,COL,NL,90,275,228,37,62,13,1,7,30,18,7,38,17,0.272,0.37799999999999995,0.43,0.8079999999999999,98,98,3,2,5,2,1,7/4,,"$205,000"
63,younger01,Eric Young,Right,5-9,180lb,1995,28,COL,NL,120,424,366,68,116,21,9,6,36,35,12,49,29,0.317,0.40399999999999997,0.473,0.8759999999999999,109,173,4,5,3,1,3,47,,"$252,500"
64,younger01,Eric Young,Right,5-9,180lb,1996,29,COL,NL,141,643,568,113,184,23,4,8,74,53,19,47,31,0.324,0.39299999999999996,0.42100000000000004,0.8140000000000001,98,239,9,21,2,5,1,*4,"AS,SS","$1,125,000"
65,younger01,Eric Young,Right,5-9,180lb,1997,30,TOT,NL,155,718,622,106,174,33,8,8,61,45,14,71,54,0.28,0.359,0.397,0.7559999999999999,88,247,18,9,10,6,1,*4,,"$3,200,000"
66,younger01,Eric Young,Right,5-9,180lb,1997,30,COL,NL,118,543,468,78,132,29,6,6,45,32,12,57,37,0.282,0.363,0.408,0.7709999999999999,86,191,16,5,8,5,0,*4,,"$3,200,000"
67,younger01,Eric Young,Right,5-9,180lb,1997,30,LAD,NL,37,175,154,28,42,4,2,2,16,13,2,14,17,0.273,0.34700000000000003,0.364,0.71,93,56,2,4,2,1,1,4,,"$3,200,000"
68,younger01,Eric Young,Right,5-9,180lb,1998,31,LAD,NL,117,513,452,78,129,24,1,8,43,42,13,45,32,0.285,0.355,0.396,0.7509999999999999,102,179,4,5,9,2,0,*4/D,,"$4,500,000"
69,younger01,Eric Young,Right,5-9,180lb,1999,32,LAD,NL,119,534,456,73,128,24,2,2,41,51,22,63,26,0.281,0.371,0.355,0.726,91,162,12,5,6,4,0,*4,,"$4,500,000"
70,younger01,Eric Young,Right,5-9,180lb,2000,33,CHC,NL,153,690,607,98,180,40,2,6,47,54,7,63,39,0.297,0.36700000000000005,0.39899999999999997,0.7659999999999999,97,242,12,8,7,5,1,*4,,"$4,500,000"
71,younger01,Eric Young,Right,5-9,180lb,2001,34,CHC,NL,149,672,603,98,168,43,4,6,42,31,14,42,45,0.27899999999999997,0.33299999999999996,0.39299999999999996,0.726,92,237,15,9,15,3,1,*4,,"$4,500,000"
