,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,yabuke01,Keiichi Yabu,Right,6-0,200lb,2005,36,OAK,AL,4,0,1.0,4.5,40,0,15,0,0,1,58.0,64,34,29,6,26,3,44,8,0,2,262,98,4.61,1.5519999999999998,9.9,0.9,4.0,6.8,1.69,,"$750,000"
1,yabuke01,Keiichi Yabu,Right,6-0,200lb,2008,39,SFG,NL,3,6,0.33299999999999996,3.57,60,0,10,0,0,0,68.0,63,33,27,3,32,4,48,8,1,5,302,123,4.06,1.3969999999999998,8.3,0.4,4.2,6.4,1.5,,"$390,000"
2,yabutya01,Yasuhiko Yabuta,Right,6-2,190lb,2008,35,KCR,AL,1,3,0.25,4.78,31,0,12,0,0,0,37.2,41,21,20,6,17,0,25,0,0,1,168,91,5.23,1.54,9.8,1.4,4.1,6.0,1.47,,"$2,500,000"
3,yanes01,Esteban Yan,Right,6-4,255lb,1998,23,TBD,AL,5,4,0.556,3.86,64,0,18,0,0,1,88.2,78,41,38,11,41,2,77,5,0,6,381,124,4.57,1.3419999999999999,7.9,1.1,4.2,7.8,1.88,,"$195,000"
4,yanes01,Esteban Yan,Right,6-4,255lb,1999,24,TBD,AL,3,4,0.429,5.9,50,1,15,0,0,0,61.0,77,41,40,8,32,4,46,9,0,2,286,84,5.35,1.787,11.4,1.2,4.7,6.8,1.44,,"$225,000"
5,yanes01,Esteban Yan,Right,6-4,255lb,2000,25,TBD,AL,7,8,0.467,6.21,43,20,8,0,0,0,137.2,158,98,95,26,42,0,111,11,1,7,618,79,5.13,1.453,10.3,1.7,2.7,7.3,2.64,,"$265,000"
6,yanes01,Esteban Yan,Right,6-4,255lb,2001,26,TBD,AL,4,6,0.4,3.9,54,0,51,0,0,22,62.1,64,34,27,7,11,1,64,5,0,5,264,114,3.23,1.203,9.2,1.0,1.6,9.2,5.82,,"$650,000"
7,yanes01,Esteban Yan,Right,6-4,255lb,2002,27,TBD,AL,7,8,0.467,4.3,55,0,47,0,0,19,69.0,70,35,33,10,29,1,53,3,1,5,305,103,4.7,1.435,9.1,1.3,3.8,6.9,1.83,,"$1,500,000"
8,yanes01,Esteban Yan,Right,6-4,255lb,2003,28,TOT,MLB,2,1,0.667,6.35,54,0,23,0,0,1,66.2,84,48,47,13,23,5,53,7,0,9,309,71,5.33,1.605,11.3,1.8,3.1,7.2,2.3,,"$1,500,000"
9,yanes01,Esteban Yan,Right,6-4,255lb,2003,28,TEX,AL,0,1,0.0,6.94,15,0,6,0,0,0,23.1,31,19,18,5,7,1,25,2,0,5,110,73,4.83,1.629,12.0,1.9,2.7,9.6,3.57,,"$1,500,000"
10,yanes01,Esteban Yan,Right,6-4,255lb,2003,28,STL,NL,2,0,1.0,6.02,39,0,17,0,0,1,43.1,53,29,29,8,16,4,28,5,0,4,199,69,5.59,1.5919999999999999,11.0,1.7,3.3,5.8,1.75,,"$1,500,000"
11,yanes01,Esteban Yan,Right,6-4,255lb,2004,29,DET,AL,3,6,0.33299999999999996,3.83,69,0,27,0,0,7,87.0,92,43,37,8,32,5,69,4,0,7,379,117,3.9,1.425,9.5,0.8,3.3,7.1,2.16,,"$650,000"
12,yanes01,Esteban Yan,Right,6-4,255lb,2005,30,LAA,AL,1,1,0.5,4.59,49,0,21,0,0,0,66.2,66,36,34,8,30,4,45,0,0,5,293,93,4.58,1.44,8.9,1.1,4.1,6.1,1.5,,"$1,000,000"
13,yanes01,Esteban Yan,Right,6-4,255lb,2006,31,TOT,MLB,1,0,1.0,5.54,27,0,12,0,0,1,37.1,32,25,23,8,20,4,24,1,0,5,161,84,6.33,1.393,7.7,1.9,4.8,5.8,1.2,,"$1,250,000"
14,yanes01,Esteban Yan,Right,6-4,255lb,2006,31,LAA,AL,0,0,,6.85,13,0,8,0,0,0,22.1,19,18,17,4,13,2,16,1,0,4,98,67,5.92,1.433,7.7,1.6,5.2,6.4,1.23,,"$1,250,000"
15,yanes01,Esteban Yan,Right,6-4,255lb,2006,31,CIN,NL,1,0,1.0,3.6,14,0,4,0,0,1,15.0,13,7,6,4,7,2,8,0,0,1,63,133,6.95,1.3330000000000002,7.8,2.4,4.2,4.8,1.14,,"$1,250,000"
16,yateski01,Kirby Yates,Right,5-10,210lb,2015,28,TBR,AL,1,0,1.0,7.97,20,0,10,0,0,0,20.1,23,18,18,10,7,0,21,1,0,0,92,50,8.64,1.475,10.2,4.4,3.1,9.3,3.0,,"$512,800"
17,yateski01,Kirby Yates,Right,5-10,210lb,2016,29,NYY,AL,2,1,0.667,5.23,41,0,11,0,0,0,41.1,41,24,24,5,19,1,50,4,0,1,184,83,3.97,1.452,8.9,1.1,4.1,10.9,2.63,,"$511,900"
18,yatesty01,Tyler Yates,Right,6-4,220lb,2004,26,NYM,NL,2,4,0.33299999999999996,6.36,21,7,2,0,0,0,46.2,61,36,33,6,25,3,35,3,1,1,228,68,5.02,1.8430000000000002,11.8,1.2,4.8,6.8,1.4,,"$300,000"
19,yatesty01,Tyler Yates,Right,6-4,220lb,2007,29,ATL,NL,2,3,0.4,5.18,75,0,14,0,0,2,66.0,64,44,38,6,31,8,69,3,0,2,294,84,3.88,1.439,8.7,0.8,4.2,9.4,2.23,,"$412,500"
20,yatesty01,Tyler Yates,Right,6-4,220lb,2008,30,PIT,NL,6,3,0.667,4.66,72,0,16,0,0,1,73.1,72,39,38,6,41,4,63,2,0,5,331,90,4.24,1.541,8.8,0.7,5.0,7.7,1.54,,"$800,000"
21,yatesty01,Tyler Yates,Right,6-4,220lb,2009,31,PIT,NL,0,2,0.0,7.5,15,0,2,0,0,0,12.0,14,12,10,2,7,1,9,1,0,0,56,57,5.76,1.75,10.5,1.5,5.3,6.8,1.29,,"$1,300,000"
22,yettri01,Rich Yett,Right,6-2,187lb,1986,23,CLE,AL,5,3,0.625,5.15,39,3,17,1,1,1,78.2,84,48,45,10,37,4,50,1,0,8,350,81,4.6,1.538,9.6,1.1,4.2,5.7,1.35,,"$60,000"
23,yettri01,Rich Yett,Right,6-2,187lb,1987,24,CLE,AL,3,9,0.25,5.25,37,11,13,2,0,1,97.2,96,63,57,21,49,3,59,3,0,9,432,86,6.06,1.485,8.8,1.9,4.5,5.4,1.2,,"$67,500"
24,yettri01,Rich Yett,Right,6-2,187lb,1988,25,CLE,AL,9,6,0.6,4.62,23,22,0,0,0,0,134.1,146,72,69,11,55,1,71,1,3,4,590,89,4.03,1.496,9.8,0.7,3.7,4.8,1.29,,"$90,000"
25,yettri01,Rich Yett,Right,6-2,187lb,1989,26,CLE,AL,5,6,0.455,5.0,32,12,5,1,0,0,99.0,111,56,55,10,47,1,47,2,0,7,446,80,4.61,1.5959999999999999,10.1,0.9,4.3,4.3,1.0,,"$155,000"
26,yettri01,Rich Yett,Right,6-2,187lb,1990,27,MIN,AL,0,0,,2.08,4,0,0,0,0,0,4.1,6,2,1,1,1,1,2,0,0,0,19,217,5.58,1.615,12.5,2.1,2.1,4.2,2.0,,"$120,000"
27,ynoami01,Michael Ynoa,Right,6-7,210lb,2017,25,CHW,AL,1,0,1.0,5.9,22,0,10,0,0,0,29.0,28,22,19,4,22,0,23,5,0,3,141,74,6.16,1.724,8.7,1.2,6.8,7.1,1.05,,"$540,000"
28,yorkmi01,Mike York,Right,6-1,187lb,1990,25,PIT,NL,1,1,0.5,2.84,4,1,0,0,0,0,12.2,13,5,4,0,5,0,4,1,1,0,56,131,3.6,1.421,9.2,0.0,3.6,2.8,0.8,,"$104,000"
29,yoshima01,Masato Yoshii,Right,6-2,210lb,1998,33,NYM,NL,6,8,0.429,3.93,29,29,0,1,0,0,171.2,166,79,75,22,53,5,117,6,1,5,724,107,4.47,1.276,8.7,1.2,2.8,6.1,2.21,,"$1,075,000"
30,yoshima01,Masato Yoshii,Right,6-2,210lb,1999,34,NYM,NL,12,8,0.6,4.4,31,29,1,1,0,0,174.0,168,86,85,25,58,3,105,6,0,1,723,101,4.9,1.2990000000000002,8.7,1.3,3.0,5.4,1.81,,"$2,000,000"
31,yoshima01,Masato Yoshii,Right,6-2,210lb,2000,35,COL,NL,6,15,0.28600000000000003,5.86,29,29,0,0,0,0,167.1,201,112,109,32,53,6,88,2,1,2,726,99,5.55,1.518,10.8,1.7,2.9,4.7,1.66,,"$3,000,000"
32,yoshima01,Masato Yoshii,Right,6-2,210lb,2002,37,MON,NL,4,9,0.308,4.11,31,20,4,1,0,0,131.1,143,66,60,15,32,2,74,4,0,5,553,103,4.14,1.3319999999999999,9.8,1.0,2.2,5.1,2.31,,"$300,000"
33,youmafl01,Floyd Youmans,Right,6-2,180lb,1986,22,MON,NL,13,12,0.52,3.53,33,32,1,6,2,0,219.0,145,93,86,14,118,4,202,4,1,10,905,106,3.43,1.2009999999999998,6.0,0.6,4.8,8.3,1.71,,"$70,000"
34,youmafl01,Floyd Youmans,Right,6-2,180lb,1987,23,MON,NL,9,8,0.529,4.64,23,23,0,3,3,0,116.1,112,63,60,13,47,2,94,1,1,3,505,91,3.95,1.367,8.7,1.0,3.6,7.3,2.0,,"$91,500"
35,youmafl01,Floyd Youmans,Right,6-2,180lb,1988,24,MON,NL,3,6,0.33299999999999996,3.21,14,13,1,1,1,0,84.0,64,35,30,8,41,1,54,2,1,4,351,112,4.26,1.25,6.9,0.9,4.4,5.8,1.32,,"$160,000"
36,youmafl01,Floyd Youmans,Right,6-2,180lb,1989,25,PHI,NL,1,5,0.16699999999999998,5.7,10,10,0,0,0,0,42.2,50,31,27,7,25,3,20,2,2,2,200,63,5.86,1.758,10.5,1.5,5.3,4.2,0.8,,"$175,000"
37,youngan01,Anthony Young,Right,6-2,200lb,1992,26,NYM,NL,2,14,0.125,4.17,52,13,26,1,0,15,121.0,134,66,56,8,31,5,64,1,1,3,517,85,3.38,1.364,10.0,0.6,2.3,4.8,2.06,,"$115,000"
38,youngan01,Anthony Young,Right,6-2,200lb,1993,27,NYM,NL,1,16,0.059000000000000004,3.77,39,10,19,1,0,3,100.1,103,62,42,8,42,9,62,1,2,0,445,107,4.07,1.445,9.2,0.7,3.8,5.6,1.48,,"$205,000"
39,youngan01,Anthony Young,Right,6-2,200lb,1994,28,CHC,NL,4,6,0.4,3.92,20,19,0,0,0,0,114.2,103,57,50,12,46,2,65,0,1,4,474,107,4.56,1.2990000000000002,8.1,0.9,3.6,5.1,1.41,,"$230,000"
40,youngan01,Anthony Young,Right,6-2,200lb,1995,29,CHC,NL,3,4,0.429,3.7,32,1,8,0,0,2,41.1,47,20,17,5,14,2,15,3,0,6,181,111,5.18,1.476,10.2,1.1,3.0,3.3,1.07,,"$380,000"
41,youngan01,Anthony Young,Right,6-2,200lb,1996,30,HOU,NL,3,3,0.5,4.59,28,0,10,0,0,0,33.1,36,18,17,4,22,4,19,4,1,2,158,85,5.93,1.74,9.7,1.1,5.9,5.1,0.86,,"$275,000"
42,youngch03,Chris Young,Right,6-10,255lb,2005,26,TEX,AL,12,7,0.632,4.26,31,31,0,0,0,0,164.2,162,84,78,19,45,2,137,7,0,3,700,108,3.8,1.2570000000000001,8.9,1.0,2.5,7.5,3.04,,"$400,000"
43,youngch03,Chris Young,Right,6-10,255lb,2006,27,SDP,NL,11,5,0.688,3.46,31,31,0,0,0,0,179.1,134,72,69,28,69,4,164,6,1,6,735,117,4.6,1.1320000000000001,6.7,1.4,3.5,8.2,2.38,,"$500,000"
44,youngch03,Chris Young,Right,6-10,255lb,2007,28,SDP,NL,9,8,0.529,3.12,30,30,0,0,0,0,173.0,118,66,60,10,72,0,167,7,4,7,705,128,3.43,1.0979999999999999,6.1,0.5,3.7,8.7,2.32,AS,"$600,000"
45,youngch03,Chris Young,Right,6-10,255lb,2008,29,SDP,NL,7,6,0.5379999999999999,3.96,18,18,0,1,0,0,102.1,84,46,45,13,48,4,93,1,1,3,434,96,4.4,1.29,7.4,1.1,4.2,8.2,1.94,,"$2,625,000"
46,youngch03,Chris Young,Right,6-10,255lb,2009,30,SDP,NL,4,6,0.4,5.21,14,14,0,0,0,0,76.0,70,47,44,12,40,3,50,2,0,1,336,73,5.49,1.4469999999999998,8.3,1.4,4.7,5.9,1.25,,"$4,625,000"
47,youngch03,Chris Young,Right,6-10,255lb,2010,31,SDP,NL,2,0,1.0,0.9,4,4,0,0,0,0,20.0,10,2,2,1,11,0,15,0,0,1,82,416,3.88,1.05,4.5,0.5,5.0,6.8,1.36,,"$6,375,000"
48,youngch03,Chris Young,Right,6-10,255lb,2011,32,NYM,NL,1,0,1.0,1.88,4,4,0,0,0,0,24.0,12,5,5,3,11,0,22,1,0,0,95,199,4.32,0.958,4.5,1.1,4.1,8.3,2.0,,"$1,100,000"
49,youngch03,Chris Young,Right,6-10,255lb,2014,35,SEA,AL,12,9,0.5710000000000001,3.65,30,29,0,0,0,0,165.0,143,70,67,26,60,3,108,3,1,5,688,100,5.02,1.23,7.8,1.4,3.3,5.9,1.8,,"$1,250,000"
50,youngch03,Chris Young,Right,6-10,255lb,2015,36,KCR,AL,11,6,0.647,3.06,34,18,3,0,0,0,123.1,91,44,42,16,43,0,83,0,0,5,500,137,4.52,1.0859999999999999,6.6,1.2,3.1,6.1,1.93,,"$675,000"
51,youngch03,Chris Young,Right,6-10,255lb,2016,37,KCR,AL,3,9,0.25,6.19,34,13,7,0,0,1,88.2,104,63,61,28,43,1,94,1,0,3,406,70,6.62,1.6580000000000001,10.6,2.8,4.4,9.5,2.19,,"$4,250,000"
52,youngch03,Chris Young,Right,6-10,255lb,2017,38,KCR,AL,0,0,,7.5,14,2,5,0,0,0,30.0,47,27,25,7,14,2,22,1,0,1,148,60,6.22,2.033,14.1,2.1,4.2,6.6,1.57,,"$5,750,000"
53,youngcl01,Cliff Young,Left,6-4,200lb,1990,25,CAL,AL,1,1,0.5,3.52,17,0,5,0,0,0,30.2,40,14,12,2,7,1,19,1,0,1,137,109,3.2,1.5330000000000001,11.7,0.6,2.1,5.6,2.71,,"$100,000"
54,youngcl01,Cliff Young,Left,6-4,200lb,1991,26,CAL,AL,1,0,1.0,4.26,11,0,6,0,0,0,12.2,12,6,6,3,3,1,6,0,0,0,49,99,5.7,1.1840000000000002,8.5,2.1,2.1,4.3,2.0,,"$105,000"
55,youngcl01,Cliff Young,Left,6-4,200lb,1993,28,CLE,AL,3,3,0.5,4.62,21,7,3,0,0,1,60.1,74,35,31,9,18,1,31,3,0,0,271,94,4.94,1.525,11.0,1.3,2.7,4.6,1.72,,"$125,000"
56,youngcu01,Curt Young,Left,6-1,175lb,1986,26,OAK,AL,13,9,0.591,3.45,29,27,0,5,2,0,198.0,176,88,76,19,57,1,116,7,2,7,826,112,3.82,1.177,8.0,0.9,2.6,5.3,2.04,,"$79,000"
57,youngcu01,Curt Young,Left,6-1,175lb,1987,27,OAK,AL,13,7,0.65,4.08,31,31,0,6,0,0,203.0,194,102,92,38,44,0,124,3,1,2,828,102,4.78,1.172,8.6,1.7,2.0,5.5,2.82,,"$171,875"
58,youngcu01,Curt Young,Left,6-1,175lb,1988,28,OAK,AL,11,8,0.579,4.14,26,26,0,1,0,0,156.1,162,77,72,23,50,3,69,4,6,3,651,92,4.84,1.3559999999999999,9.3,1.3,2.9,4.0,1.38,,"$410,000"
59,youngcu01,Curt Young,Left,6-1,175lb,1989,29,OAK,AL,5,9,0.35700000000000004,3.73,25,20,2,1,0,0,111.0,117,56,46,10,47,2,55,3,4,4,495,100,4.29,1.4769999999999999,9.5,0.8,3.8,4.5,1.17,,"$572,500"
60,youngcu01,Curt Young,Left,6-1,175lb,1990,30,OAK,AL,9,6,0.6,4.85,26,21,0,0,0,0,124.1,124,70,67,17,53,1,56,2,0,3,527,76,5.01,1.4240000000000002,9.0,1.2,3.8,4.1,1.06,,"$675,000"
61,youngcu01,Curt Young,Left,6-1,175lb,1991,31,OAK,AL,4,2,0.667,5.0,41,1,6,0,0,0,68.1,74,38,38,8,34,2,27,2,1,2,306,77,5.17,1.58,9.7,1.1,4.5,3.6,0.79,,"$775,000"
62,youngcu01,Curt Young,Left,6-1,175lb,1992,32,TOT,AL,4,2,0.667,3.99,23,7,5,0,0,0,67.2,80,35,30,2,17,2,20,2,0,0,295,100,3.42,1.433,10.6,0.3,2.3,2.7,1.18,,"$400,000"
63,youngcu01,Curt Young,Left,6-1,175lb,1992,32,KCR,AL,1,2,0.33299999999999996,5.18,10,2,2,0,0,0,24.1,29,14,14,1,7,1,7,0,0,0,107,79,3.6,1.479,10.7,0.4,2.6,2.6,1.0,,"$400,000"
64,youngcu01,Curt Young,Left,6-1,175lb,1992,32,NYY,AL,3,0,1.0,3.32,13,5,3,0,0,0,43.1,51,21,16,1,10,1,13,2,0,0,188,119,3.31,1.4080000000000001,10.6,0.2,2.1,2.7,1.3,,"$400,000"
65,youngcu01,Curt Young,Left,6-1,175lb,1993,33,OAK,AL,1,1,0.5,4.3,3,3,0,0,0,0,14.2,14,7,7,5,6,0,4,0,0,0,64,97,8.1,1.364,8.6,3.1,3.7,2.5,0.67,,"$325,000"
66,youngda01,Danny Young,Left,6-4,210lb,2000,28,CHC,NL,0,1,0.0,21.0,4,0,2,0,0,0,3.0,5,7,7,1,6,0,0,0,0,0,20,24,13.47,3.667,15.0,3.0,18.0,0.0,0.0,,"$200,000"
67,youngma01,Matt Young,Left,6-3,205lb,1985,26,SEA,AL,12,19,0.387,4.91,37,35,2,5,2,1,218.1,242,135,119,23,76,3,136,7,2,6,951,86,3.95,1.456,10.0,0.9,3.1,5.6,1.79,,"$159,000"
68,youngma01,Matt Young,Left,6-3,205lb,1986,27,SEA,AL,8,6,0.5710000000000001,3.82,65,5,32,1,0,13,103.2,108,50,44,9,46,2,82,8,1,7,458,111,3.88,1.486,9.4,0.8,4.0,7.1,1.78,,"$205,000"
69,youngma01,Matt Young,Left,6-3,205lb,1987,28,LAD,NL,5,8,0.385,4.47,47,0,31,0,0,11,54.1,62,30,27,3,17,5,42,0,0,3,234,90,2.98,1.454,10.3,0.5,2.8,7.0,2.47,,"$350,000"
70,youngma01,Matt Young,Left,6-3,205lb,1989,30,OAK,AL,1,4,0.2,6.75,26,4,1,0,0,0,37.1,42,31,28,2,31,2,27,0,0,5,183,55,4.5,1.955,10.1,0.5,7.5,6.5,0.87,,"$425,000"
71,youngma01,Matt Young,Left,6-3,205lb,1990,31,SEA,AL,8,18,0.308,3.51,34,33,0,7,1,0,225.1,198,106,88,15,107,7,176,6,0,16,963,112,3.62,1.354,7.9,0.6,4.3,7.0,1.64,,"$587,000"
72,youngma01,Matt Young,Left,6-3,205lb,1991,32,BOS,AL,3,7,0.3,5.18,19,16,1,0,0,0,88.2,92,55,51,4,53,2,69,2,0,5,404,84,3.75,1.635,9.3,0.4,5.4,7.0,1.3,,"$2,266,667"
73,youngma01,Matt Young,Left,6-3,205lb,1992,33,BOS,AL,0,4,0.0,4.58,28,8,4,1,0,0,70.2,69,42,36,7,42,2,57,3,0,2,321,92,4.37,1.571,8.8,0.9,5.3,7.3,1.36,,"$2,266,667"
